"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"A1BG",195.642211015035,0.845288774517048,0.407094550692924,2.07639422605453,0.0378575048401181,0.112176131145104
"A1CF",268.512820668636,-0.404801731185112,0.486816552036831,-0.831528282042649,0.405675257987189,0.597793705247682
"A2M",12607.8193290569,-0.195681896228371,0.464699747857258,-0.42109318356781,0.673687038857214,0.80823280873684
"A2ML1",11.8191309426383,-0.99246764386109,0.813248347056762,-1.22037462166747,0.222322893399079,0.400414822841395
"A2MP1",1.5232375828511,0.161927386215523,2.09971438868015,0.0771187677183598,0.93852906298126,0.970355021116308
"A3GALT2",0.810688237880914,1.16929047300706,2.34597777810463,0.498423507639427,0.618185571201937,NA
"A4GALT",71.1636075162238,0.810379936293153,0.730593451890622,1.10920777375716,0.267340559815021,0.45422092260976
"A4GNT",228.456375669981,0.591831650375334,0.894256612437784,0.661814117048544,0.508090357649026,0.689441732036121
"AAAS",699.034829090666,-0.13780534887848,0.187375302417475,-0.735450975131436,0.462064886682758,0.64998529308516
"AACS",931.565558785359,-0.233630481355362,0.233237972220342,-1.0016828697801,0.316496782696026,0.506855539031592
"AACSP1",5.62131518909496,-6.69637015547453,1.54456362164629,-4.33544469235726,1.45465747081173e-05,0.000202114521888214
"AADAC",293.68478237993,-0.811241063472754,0.845651478783322,-0.959308987007181,0.337403109303546,0.530296247638915
"AADACL3",1.31017237848526,-0.80382656722331,2.46906385519757,-0.325559246080734,0.74475785056217,0.85620296023514
"AADACL4",1.63956498161551,1.80068063069487,1.87952543955872,0.958050682792376,0.338037202132286,0.53080696569246
"AADACP1",16.7800506307044,-0.9849133534179,0.953935517543496,-1.03247372102695,0.301850252128387,0.491684623759821
"AADAT",311.261230878502,-0.532021734108024,0.262063392552993,-2.03012610393663,0.0423437227378019,0.122079210557853
"AAED1",113.995139468583,0.181157304252434,0.221300935643375,0.818601619219396,0.413013742868668,0.604646384917076
"AAGAB",979.972851513409,-0.446843011928424,0.103960235602815,-4.29821084318823,1.7218233673961e-05,0.000231605264116722
"AAK1",649.969107049733,-0.467278611984755,0.174031058723565,-2.68502999069259,0.0072523298230971,0.0314651017871362
"AAMDC",310.089507653078,-0.0103458007748485,0.280215489466272,-0.0369208739836409,0.970548096060805,0.987571820301809
"AAMP",2169.35701141275,0.537337706078844,0.104198209821053,5.15688040132024,2.51098070672572e-07,6.38596651092406e-06
"AANAT",1.33780287983549,0.675704866125129,1.35533300568807,0.498552653325292,0.618094567100288,0.771294237587267
"AAR2",688.20164220328,-0.422456501395,0.0996171444789154,-4.24080115531133,2.22723383300034e-05,0.000286092142863318
"AARD",16.4812795011307,0.315506196317767,0.668347570587052,0.472069040425535,0.636877509858598,0.783861156953883
"AARS",3155.3350446085,1.01297537996101,0.190686381339444,5.31225865657284,1.08274771528416e-07,3.10030335901167e-06
"AARS2",360.810951167469,-0.247766207335802,0.206902034854482,-1.19750493275748,0.231109806067954,0.41155761031313
"AARSD1",505.998020970212,-0.121068746873996,0.225998457971986,-0.535706074990137,0.592161704399878,0.753234152929383
"AASDH",180.337676521376,-0.567981272363261,0.181478509488059,-3.12974397886286,0.00174958715453993,0.0100869130184519
"AASDHPPT",851.832163529775,-0.636079799334491,0.221973444018944,-2.86556710486596,0.00416263038786531,0.0202227716755328
"AASS",109.935899594949,-1.28037803844286,0.339692788009251,-3.76922349734427,0.000163756206457298,0.00145398273838664
"AATF",576.927811503477,-0.0175951518601061,0.255596419560524,-0.0688395866043799,0.945117307257617,0.974282247078277
"AATK",213.096981426528,0.041243674183019,0.531990144448302,0.0775271395784796,0.938204201980121,0.970218934659051
"AB019441.29",37.6223164823778,0.997231646935396,0.389005420740407,2.5635417754265,0.0103610231429416,0.0415014943620319
"ABAT",531.463587537122,-0.815773332535569,0.293665882077527,-2.77789618175736,0.00547120961402308,0.0252084853549742
"ABC12-47964100C23.1",0.324285043602782,-2.61897440428807,4.66315855448969,-0.561631000465666,0.574367454409014,NA
"ABC13-48559800H2.1",16.793724362222,-0.149572410596434,0.733586654173816,-0.203891946159907,0.8384379389158,0.913724032914054
"ABC14-864958H18.2",44.6818658674074,-0.97541209682031,0.403805144167813,-2.41555143838125,0.0157114031474569,0.0573290636836911
"ABC7-42404400C24.1",8.40645962617971,-1.57459282607232,1.42719864179827,-1.10327517134429,0.269907685467675,0.457100854764175
"ABC7-42418200C9.1",0.783002186198165,0.810168045806484,2.2150305138951,0.365759316056471,0.714544680450126,NA
"ABC7-481722F1.1",0.0316236612398714,-0.0640544064395175,4.67481410841026,-0.0137020221454966,0.989067710160608,NA
"ABCA1",431.077190945817,-0.363516580936797,0.268243736076095,-1.35517267338416,0.175362548897696,0.339976962256747
"ABCA10",92.8891943207306,-1.35778067879474,0.492509140566247,-2.75686391776135,0.005835863306024,0.0265904156576975
"ABCA11P",149.304088413518,-0.908660395667134,0.227281237869923,-3.99795603096449,6.38918155341347e-05,0.000679320332811462
"ABCA12",16.0242922088554,-1.39668571538729,0.589860218835298,-2.36782490289835,0.0178930017865257,0.0635261185840805
"ABCA13",21.8310901399533,0.103126380707507,0.614997235302992,0.167685925704526,0.866830369063573,0.931226835393711
"ABCA17P",7.60294228279892,0.851925957131276,0.827396242596433,1.02964687687953,0.303175801436234,0.493089975437866
"ABCA2",1516.15922330187,1.04118743751038,0.230998087466112,4.50734224223014,6.56447042453891e-06,0.00010269794379781
"ABCA3",148.979713077041,1.36932439390482,0.409885234950997,3.34075072030474,0.000835522037134589,0.00552394125400151
"ABCA4",20.4154567752329,0.675524935856902,0.682073166911023,0.990399518157596,0.321978880874531,0.513077807338161
"ABCA5",281.230401282138,0.418578911319271,0.273315401309889,1.53148673405594,0.125649142588764,0.268657885311815
"ABCA6",42.1011150321743,-1.20187902929962,0.477692233226376,-2.51601124259866,0.0118691396620694,0.0460922431074107
"ABCA7",1272.82437505391,0.166780496553965,0.349515541157058,0.477176196520029,0.63323665974378,0.781582199968619
"ABCA8",51.5458305117766,-0.616750933735278,0.689192444998169,-0.894889284134443,0.370846275622975,0.564042975485462
"ABCA9",125.661289817265,-1.74257698523008,0.353224738782733,-4.93333788351085,8.08361390339761e-07,1.70819081273884e-05
"ABCB1",16.2929533875051,-0.487823652576979,0.844911280306614,-0.577366717603712,0.563691752531837,0.732711779908956
"ABCB10",409.517294089724,-0.167452294774465,0.248266258512932,-0.674486721544332,0.500001924871112,0.683321337142428
