count  file
17 ../data/figure3/dapi_ki67_edu_counts/03_pbs_24h_(w)ecad_(g)edu_Counts.csv
64 ../data/figure3/dapi_ki67_edu_counts/03_pbs_24h_(w)ecad_(r)ki67_Counts.csv
90 ../data/figure3/dapi_ki67_edu_counts/03_pbs_48h_(w)ecad_(b)dapi_Counts.csv
71 ../data/figure3/dapi_ki67_edu_counts/03_pbs_48h_(w)ecad_(g)edu_Counts.csv
30 ../data/figure3/dapi_ki67_edu_counts/03_pbs_48h_(w)ecad_(r)ki67_Counts.csv
101 ../data/figure3/dapi_ki67_edu_counts/03_pbs_96h_(w)ecad_(b)dapi_Counts.csv
70 ../data/figure3/dapi_ki67_edu_counts/03_pbs_96h_(w)ecad_(g)edu_Counts.csv
14 ../data/figure3/dapi_ki67_edu_counts/03_pbs_96h_(w)ecad_(r)ki67_Counts.csv
1068 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_24h_(w)ecad_(b)dapi_Counts.csv
912 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_24h_(w)ecad_(g)edu_Counts.csv
677 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_24h_(w)ecad_(r)ki67_Counts.csv
201 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(b)dapi_Counts.csv
82 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(g)edu_Counts.csv
49 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(r)ki67_Counts.csv
184 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(b)dapi_Counts.csv
91 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(g)edu_Counts.csv
25 ../data/figure3/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(r)ki67_Counts.csv
223 ../data/figure3/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(b)dapi_Counts.csv
15 ../data/figure3/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(g)edu_Counts.csv
79 ../data/figure3/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(r)ki67_Counts.csv
193 ../data/figure3/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(b)dapi_Counts.csv
15 ../data/figure3/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(g)edu_Counts.csv
38 ../data/figure3/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(r)ki67_Counts.csv
162 ../data/figure3/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(b)dapi_Counts.csv
139 ../data/figure3/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(g)edu_Counts.csv
85 ../data/figure3/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(r)ki67_Counts.csv
337 ../data/figure3/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(b)dapi_Counts.csv
145 ../data/figure3/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(g)edu_Counts.csv
172 ../data/figure3/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(r)ki67_Counts.csv
