treatment,cytokine,pg_ml
PBS,BD-1,167
PBS,BD-1,61
PBS,BD-1,87
PBS,BD-1,123
Heat-inactivated,BD-1,151
Heat-inactivated,BD-1,175
Heat-inactivated,BD-1,201
Heat-inactivated,BD-1,51
E. coli,BD-1,38.01
E. coli,BD-1,78.25
E. coli,BD-1,27.63
E. coli,BD-1,53.72
PBS,BD-1,34.5
PBS,BD-1,26.09
PBS,BD-1,57.38
PBS,BD-1,55.97
