count  file
201 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(b)dapi_Counts.csv
82 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(g)edu_Counts.csv
49 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_48h_(w)ecad_(r)ki67_Counts.csv
184 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(b)dapi_Counts.csv
91 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(g)edu_Counts.csv
25 ../data/figure4_/dapi_ki67_edu_counts/04_ecoli_96h_(w)ecad_(r)ki67_Counts.csv
223 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(b)dapi_Counts.csv
15 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(g)edu_Counts.csv
79 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_24h_(w)ecad_(r)ki67_Counts.csv
193 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(b)dapi_Counts.csv
15 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(g)edu_Counts.csv
38 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_48h_(w)ecad_(r)ki67_Counts.csv
162 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(b)dapi_Counts.csv
139 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(g)edu_Counts.csv
85 ../data/figure4_/dapi_ki67_edu_counts/04_pbs_96h_(w)ecad_(r)ki67_Counts.csv
337 ../data/figure4_/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(b)dapi_Counts.csv
145 ../data/figure4_/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(g)edu_Counts.csv
172 ../data/figure4_/dapi_ki67_edu_counts/05_pbs_24h_(w)ecad_(r)ki67_Counts.csv
