"","x"
"1","A1BG"
"2","AAK1"
"3","AARS"
"4","ABCA1"
"5","ABCA5"
"6","ABCG1"
"7","ABCG2"
"8","ABHD10"
"9","ABHD14B"
"10","ABHD18"
"11","ABHD4"
"12","ABI1"
"13","ABI2"
"14","ABTB2"
"15","AC004980.7"
"16","AC009336.19"
"17","AC009950.1"
"18","AC127070.1"
"19","ACAP2"
"20","ACBD5"
"21","ACP1"
"22","ACSS3"
"23","ACTN3"
"24","ACTR2"
"25","ACTR6"
"26","ACVR1"
"27","ADAM12"
"28","ADAM17"
"29","ADAM1B"
"30","ADAMTS1"
"31","ADAMTS12"
"32","ADAMTS2"
"33","ADAMTS3"
"34","ADAMTS4"
"35","ADAMTS8"
"36","ADAMTSL1"
"37","ADAMTSL2"
"38","ADAMTSL3"
"39","ADCY1"
"40","ADCYAP1"
"41","ADD3"
"42","ADGRL3"
"43","ADH5"
"44","ADIPOR1"
"45","ADM2"
"46","ADORA2B"
"47","ADPRM"
"48","ADTRP"
"49","AFAP1"
"50","AFAP1L1"
"51","AFF1"
"52","AFF2"
"53","AFF3"
"54","AFF4"
"55","AGAP2"
"56","AGFG1"
"57","AGMO"
"58","AGO3"
"59","AGPAT4"
"60","AGT"
"61","AGTPBP1"
"62","AGTR2"
"63","AHI1"
"64","AIDA"
"65","AIMP1"
"66","AK2"
"67","AKAP10"
"68","AKAP11"
"69","AKAP12"
"70","AKAP2"
"71","AKAP6"
"72","AKIRIN2"
"73","AKR7A2"
"74","AKT3"
"75","ALDH1A3"
"76","ALDH1L2"
"77","ALDH6A1"
"78","ALG2"
"79","ALG5"
"80","ALKBH1"
"81","ALKBH3"
"82","ALKBH5"
"83","ALOX12B"
"84","ALPK1"
"85","AMN1"
"86","AMOT"
"87","ANAPC10"
"88","ANAPC16"
"89","ANGPT1"
"90","ANGPTL1"
"91","ANGPTL2"
"92","ANGPTL4"
"93","ANK2"
"94","ANKH"
"95","ANKMY2"
"96","ANKRD13A"
"97","ANO6"
