"","x"
"326","CDHR5"
"327","CDK18"
"328","CDK19"
"329","CDKN1C"
"330","CDNF"
"331","CEACAM1"
"332","CEACAM18"
"333","CEACAM7"
"334","CEBPD"
"335","CEBPZOS"
"336","CECR1"
"337","CELF2"
"338","CEP85L"
"339","CES3"
"340","CFAP58"
"341","CFC1"
"342","CFLAR"
"343","CH17-258A22.4"
"344","CHCHD10"
"345","CHCHD2"
"346","CHD3"
"347","CHDH"
"348","CHMP1B2P"
"349","CHP1"
"350","CHRM2"
"351","CHST4"
"352","CHURC1-FNTB"
"353","CIB1"
"354","CIB2"
"355","CIDEB"
"356","CIDEC"
"357","CIR1"
"358","CISH"
"359","CKB"
"360","CLCA1"
"361","CLCF1"
"362","CLCNKA"
"363","CLCNKB"
"364","CLDN1"
"365","CLDN19"
"366","CLDN4"
"367","CLDN6"
"368","CLDN7"
"369","CLEC2B"
"370","CLEC3B"
"371","CLIC1"
"372","CLIC3"
"373","CLIC5"
"374","CLIC6"
"375","CLINT1"
"376","CLMN"
"377","CLRN3"
"378","CMIP"
"379","CMPK1"
"380","CNKSR1"
"381","CNN1"
"382","CNN2"
"383","COBLL1"
"384","COG3"
"385","COG6"
"386","COL11A2"
"387","COL27A1"
"388","COL28A1"
"389","COL4A5"
"390","COL4A6"
"391","COL9A2"
"392","COL9A3"
"393","COLCA2"
"394","COLEC10"
"395","COLEC11"
"396","COMMD10"
"397","COMT"
"398","COPB1"
"399","COPB2"
"400","COPS2"
"401","COPZ1"
"402","CORO1C"
"403","CORO2A"
"404","COTL1"
"405","COX6B2"
"406","COX7A2L"
"407","CP"
"408","CPAMD8"
"409","CPEB2"
"410","CPHL1P"
"411","CPNE5"
"412","CPNE8"
"413","CRABP2"
"414","CRADD"
"415","CRB3"
"416","CREB3L1"
"417","CREB3L2"
"418","CRELD1"
"419","CRIM1"
"420","CRYM"
"421","CSDE1"
"422","CSF2"
"423","CSF3R"
"424","CSNK2A1"
"425","CSRNP1"
"426","CSRP1"
"427","CSRP2"
"428","CST8"
"429","CTD-2005D20.1"
"430","CTD-2114J12.1"
"431","CTD-2623N2.3"
"432","CTD-3088G3.8"
"433","CTDSP1"
"434","CTGF"
"435","CTNNA3"
"436","CTNND1"
"437","CTSC"
"438","CTSS"
"439","CTXN2"
"440","CUL4B"
"441","CUL7"
"442","CXADR"
"443","CXCL10"
"444","CXCL12"
"445","CXCL14"
"446","CXCL16"
"447","CXCL2"
"448","CXCL3"
"449","CXCL8"
"450","CXCR4"
"451","CXorf65"
"452","CYB5A"
"453","CYB5R3"
"454","CYP11A1"
"455","CYP26B1"
"456","CYP2B6"
"457","CYP2W1"
"458","CYP3A5"
"459","CYP4F22"
"460","CYP51A1"
"461","CYR61"
"462","CYSLTR1"
"463","DAB1"
"464","DAB2IP"
"465","DACT2"
"466","DAP"
"467","DAPK1"
"468","DARS"
"469","DAZAP2"
"470","DBNDD1"
"471","DCAF5"
"472","DCP2"
"473","DCTN6"
"474","DDAH1"
"475","DDAH2"
"476","DDC"
"477","DDIT3"
"478","DDT"
"479","DDX60"
"480","DENND1A"
"481","DENND2D"
"482","DENND3"
"483","DENND4C"
"484","DEPTOR"
"485","DES"
"486","DGAT1"
"487","DGKH"
"488","DHCR7"
"489","DHDH"
"490","DIAPH2"
"491","DKK4"
"492","DMBT1"
"493","DMD"
"494","DMTN"
"495","DNAH11"
"496","DNAH5"
"497","DNAJB13"
"498","DNAJB9"
"499","DNASE1"
"500","DNASE2B"
"501","DNM2"
"502","DOCK6"
"503","DOK4"
"504","DPEP1"
"505","DPH6"
"506","DPP10"
"507","DPP4"
"508","DPYSL2"
"509","DRAM1"
"510","DRAM2"
"511","DRD2"
"512","DRP2"
"513","DSCAML1"
"514","DSG2"
"515","DSG4"
"516","DSP"
"517","DSTN"
"518","DTWD1"
"519","DUOXA1"
"520","DUOXA2"
"521","DUS4L"
"522","DUSP1"
"523","DUSP3"
"524","DUSP5"
"525","DUSP8"
"526","DUSP9"
"527","DYSF"
"528","E2F5"
"529","EAF2"
"530","EBF4"
"531","EBI3"
"532","EEF1A1"
"533","EEF1A1P11"
"534","EEF1A1P12"
"535","EEF1A1P13"
"536","EEF1A1P9"
"537","EFEMP1"
"538","EFNA1"
"539","EFNA2"
"540","EFNB1"
"541","EGFL7"
"542","EGFL8"
"543","EGLN1"
"544","EGLN3"
"545","EHD2"
"546","EIF2S3"
"547","EIF3E"
"548","EIF3H"
"549","EIF3M"
"550","EIF4A2"
"551","EIF4A2P3"
"552","EIF4BP7"
"553","EIF4H"
"554","ELF4"
"555","ELFN2"
"556","ELL"
