"","x"
"1","AASDH"
"2","ABCD3"
"3","ABCG1"
"4","ABHD10"
"5","ABHD13"
"6","ABHD17B"
"7","ABHD5"
"8","ABI1"
"9","ABTB2"
"10","ACADM"
"11","ACAP2"
"12","ACBD5"
"13","ACP1"
"14","ACTR10"
"15","ACTR2"
"16","ACTR6"
"17","ACVR1"
"18","ACYP2"
"19","ADAM12"
"20","ADAMTS2"
"21","ADAMTS8"
"22","ADCY1"
"23","ADCYAP1"
"24","ADH5"
"25","ADIPOR1"
"26","ADM2"
"27","ADO"
"28","ADSS"
"29","ADTRP"
"30","AGA"
"31","AGFG1"
"32","AGGF1"
"33","AGMO"
"34","AHI1"
"35","AIMP1"
"36","AK6"
"37","AKR1C2"
"38","AKTIP"
"39","ALDH1A3"
"40","ALDH5A1"
"41","ALG10"
"42","ALG2"
"43","ALG5"
"44","ALG6"
"45","ALKBH1"
"46","ALKBH3"
"47","ALKBH8"
"48","AMACR"
"49","AMD1"
"50","AMIGO1"
"51","AMMECR1"
"52","ANAPC10"
"53","ANAPC13"
"54","ANAPC16"
"55","ANGPT1"
"56","ANKH"
"57","ANKRD46"
"58","ANKRD49"
"59","ANO3"
"60","ANO5"
"61","ANXA5"
"62","AP1AR"
"63","AP3S1"
"64","APBB2"
"65","APMAP"
"66","APOD"
"67","APOL4"
"68","APTX"
"69","ARAP2"
"70","ARCN1"
"71","AREG"
"72","ARHGAP44"
"73","ARHGEF37"
"74","ARL4A"
"75","ARL6"
"76","ARL6IP5"
"77","ARL8B"
"78","ARMC10"
"79","ARMC8"
"80","ARMCX1"
"81","ARMCX3"
"82","ARMCX5"
"83","ARMT1"
"84","ARPC5"
"85","ARRDC3"
"86","ARRDC4"
"87","ARV1"
"88","ASAH1"
"89","ASAH2B"
"90","ASB8"
"91","ASF1A"
"92","ASH2L"
"93","ASNS"
"94","ASNSD1"
"95","ASNSP1"
"96","ASPHD2"
"97","ATAD1"
"98","ATF1"
"99","ATF3"
"100","ATF6"
"101","ATG12"
"102","ATG3"
"103","ATG4A"
"104","ATG5"
"105","ATL1"
"106","ATL3"
"107","ATMIN"
"108","ATP2C1"
"109","ATP5S"
"110","ATP6AP2"
"111","ATP6V0E1"
"112","ATP6V1A"
"113","ATP6V1B2"
"114","ATP6V1C1"
"115","ATP6V1D"
"116","ATP6V1E1"
"117","ATP6V1G1"
"118","ATPAF1"
"119","B2M"
"120","B3GNT2"
"121","B3GNT5"
"122","BACH1"
"123","BAG2"
"124","BAG4"
"125","BAG5"
"126","BAMBI"
"127","BBOF1"
"128","BBS2"
"129","BBS7"
"130","BCAP29"
"131","BCAS2"
"132","BCL10"
"133","BDH2"
"134","BDKRB2"
"135","BEAN1"
"136","BECN1"
"137","BHLHE41"
"138","BIRC2"
"139","BLZF1"
"140","BMT2"
"141","BOC"
"142","BOLA3"
"143","BORCS7"
"144","BPGM"
"145","BRAP"
"146","BROX"
"147","BTBD1"
"148","BTBD10"
"149","BTF3L4"
"150","BTG1"
"151","C11orf57"
"152","C11orf58"
"153","C12orf29"
"154","C16orf87"
"155","C18orf25"
"156","C18orf32"
"157","C1D"
"158","C1GALT1C1"
"159","C1orf131"
"160","C1orf52"
"161","C1orf53"
"162","C3orf33"
"163","C3orf38"
"164","C3orf58"
"165","C4A"
"166","C4B"
"167","C4B_2"
"168","C5orf15"
"169","C5orf22"
"170","C6orf120"
"171","C6orf62"
"172","C6orf89"
"173","C7orf25"
"174","C7orf73"
"175","C8orf4"
"176","C9orf78"
"177","CA10"
"178","CAAP1"
"179","CAB39"
"180","CADPS2"
"181","CAPN6"
"182","CAPN7"
"183","CAPZA2"
"184","CARNMT1"
"185","CASC4"
"186","CASP9"
"187","CBWD2"
"188","CBY1"
"189","CCDC113"
"190","CCDC117"
"191","CCDC126"
"192","CCDC148"
"193","CCDC178"
"194","CCDC181"
"195","CCDC25"
"196","CCDC47"
"197","CCDC59"
"198","CCDC82"
"199","CCDC90B"
"200","CCL20"
"201","CCNC"
"202","CCPG1"
"203","CD164"
"204","CD44"
"205","CD58"
"206","CDC37L1"
"207","CDC5L"
"208","CDC73"
"209","CDK7"
"210","CDKN1B"
"211","CDKN2AIP"
"212","CDKN2B"
"213","CDO1"
"214","CDV3"
"215","CEBPG"
"216","CFAP53"
"217","CFAP65"
"218","CGGBP1"
"219","CGRRF1"
"220","CH25H"
"221","CHAC1"
"222","CHAC2"
"223","CHCHD3"
"224","CHI3L1"
"225","CHIC1"
"226","CHIC2"
"227","CHM"
"228","CHMP1B"
"229","CHMP2B"
"230","CHMP4C"
"231","CHMP5"
"232","CHN1"
"233","CISD2"
"234","CKLF"
"235","CLDN11"
"236","CLDN12"
"237","CLEC18B"
"238","CLN5"
"239","CLPX"
"240","CLSTN2"
"241","CMC1"
"242","CMPK1"
"243","CMTM6"
"244","CNIH1"
"245","CNOT7"
"246","CNOT8"
"247","COG5"
