"","x"
"1","AAED1"
"2","AATK"
"3","ABCA5"
"4","ABCA6"
"5","ABCB6"
"6","ABLIM1"
"7","AC007325.2"
"8","AC090774.2"
"9","AC127070.1"
"10","ACAT2"
"11","ACBD3"
"12","ACKR3"
"13","ACLY"
"14","ACO1"
"15","ACOT1"
"16","ACPP"
"17","ACTA2"
"18","ACTB"
"19","ACTG1"
"20","ACTG2"
"21","ACTN1"
"22","ACTN3"
"23","ACTR3"
"24","ACTRT3"
"25","ACVRL1"
"26","ADAM33"
"27","ADAMTS1"
"28","ADAMTS2"
"29","ADAMTS20"
"30","ADAMTS5"
"31","ADAMTS8"
"32","ADAMTSL2"
"33","ADGRB3"
"34","ADGRF5"
"35","ADGRG7"
"36","ADH1B"
"37","ADH5"
"38","ADM"
"39","ADPRH"
"40","AEBP1"
"41","AES"
"42","AFAP1L1"
"43","AFMID"
"44","AGAP12P"
"45","AGR2"
"46","AGT"
"47","AGTPBP1"
"48","AIMP1"
"49","AK1"
"50","AK2"
"51","AKAP12"
"52","AKAP17A"
"53","AKAP2"
"54","AKAP8"
"55","AKIRIN2"
"56","AKR1A1"
"57","ALDOA"
"58","ALDOC"
"59","ALKBH7"
"60","AMPD2"
"61","ANG"
"62","ANK2"
"63","ANKRD37"
"64","ANO3"
"65","ANO7"
"66","ANP32A"
"67","ANXA13"
"68","ANXA6"
"69","AP2A2"
"70","APBA1"
"71","APIP"
"72","APLN"
"73","APOBEC3C"
"74","APOBEC3G"
"75","APOD"
"76","APOL4"
"77","AQP1"
"78","AQP12A"
"79","ARAP3"
"80","ARCN1"
"81","ARF1"
"82","ARF4"
"83","ARFGAP3"
"84","ARG2"
"85","ARHGAP10"
"86","ARHGAP6"
"87","ARHGDIA"
"88","ARHGEF17"
"89","ARID5A"
"90","ARL1"
"91","ARL17B"
"92","ARMCX1"
"93","ARPC2"
"94","ARSJ"
"95","ASCL2"
"96","ASGR1"
"97","ASL"
"98","ASPG"
"99","ASPHD2"
"100","ASS1"
"101","ATF3"
"102","ATF7"
"103","ATG13"
"104","ATG9B"
"105","ATP2A2"
"106","ATP5S"
"107","ATP8B4"
"108","B9D1"
"109","BAALC"
"110","BACH1"
"111","BAHCC1"
"112","BAIAP2L2"
"113","BANP"
"114","BARX1"
"115","BATF2"
"116","BATF3"
"117","BBC3"
"118","BCAR1"
"119","BCL3"
"120","BCO1"
"121","BCRP3"
"122","BDKRB2"
"123","BEST4"
"124","BIN1"
"125","BIRC3"
"126","BLVRB"
"127","BMP2"
"128","BMT2"
"129","BNC1"
"130","BNIP1"
"131","BNIP3L"
"132","BRD4"
"133","BST1"
"134","BST2"
"135","C12orf75"
"136","C16orf89"
"137","C19orf66"
"138","C1QTNF9"
"139","C1R"
"140","C1S"
"141","C3orf52"
"142","C4A"
"143","C4B"
"144","C4B_2"
"145","C4BPB"
"146","C4orf3"
"147","C5orf56"
"148","C6orf222"
"149","C8orf22"
"150","C8orf4"
"151","CA3"
"152","CA5BP1"
"153","CALR"
"154","CALY"
"155","CAMK2D"
"156","CANX"
"157","CAPN6"
"158","CAPNS1"
"159","CAPZB"
"160","CARD16"
"161","CASKIN1"
"162","CASP4"
"163","CBFA2T3"
"164","CBLC"
"165","CBWD3"
"166","CCDC102A"
"167","CCDC107"
"168","CCDC149"
"169","CCDC28B"
"170","CCDC80"
"171","CCDC9"
"172","CCL11"
"173","CCL2"
"174","CCL26"
"175","CCNL2"
"176","CCR10"
"177","CD101"
"178","CD1D"
"179","CD69"
"180","CDC42EP5"
"181","CDH10"
"182","CDH8"
"183","CDH9"
"184","CDK2AP1"
"185","CDKN1C"
"186","CDR2"
"187","CDV3"
"188","CEBPD"
"189","CECR5"
"190","CELF2"
"191","CFC1"
"192","CFI"
"193","CFL1"
"194","CFL2"
"195","CFLAR"
"196","CH25H"
"197","CHCHD10"
"198","CHCHD3"
"199","CHI3L1"
"200","CHI3L2"
"201","CHRD"
"202","CIB2"
"203","CIC"
"204","CILP"
"205","CISH"
"206","CKAP4"
"207","CLCA1"
"208","CLCN6"
"209","CLCNKA"
"210","CLEC2B"
"211","CLEC3B"
"212","CLIC2"
"213","CMPK2"
"214","CNKSR3"
"215","CNN1"
"216","CNN2"
"217","CNN3"
"218","CNOT9"
"219","CNTNAP1"
"220","COBLL1"
"221","COL11A2"
"222","COL21A1"
"223","COL28A1"
"224","COL5A2"
"225","COL9A2"
"226","COL9A3"
"227","COLEC10"
"228","COLEC11"
"229","COMMD10"
"230","COPB1"
"231","COPB2"
"232","CORO1B"
"233","COTL1"
"234","COX6B2"
"235","COX7A2L"
"236","CP"
"237","CPA4"
"238","CPNE5"
"239","CRABP2"
"240","CREB3L1"
"241","CSF1"
"242","CSF2"
"243","CSRNP1"
"244","CSRP1"
"245","CSRP2"
"246","CTD-2114J12.1"
"247","CTSS"
"248","CX3CL1"
"249","CXCL1"
"250","CXCL10"
"251","CXCL12"
"252","CXCL17"
"253","CXCL2"
"254","CXCL3"
"255","CXCL8"
"256","CXCR4"
"257","CYGB"
"258","CYP21A2"
"259","CYP26A1"
"260","CYR61"
"261","CYSLTR2"
"262","CYTL1"
"263","DACT2"
"264","DAP"
"265","DAPK3"
"266","DARS"
"267","DAZAP1"
"268","DCLK1"
"269","DCLK3"
"270","DCTD"
"271","DCTN6"
"272","DDAH2"
"273","DDIT3"
"274","DDIT4L"
"275","DDN"
"276","DDX50"
"277","DENND1A"
"278","DERL3"
"279","DES"
"280","DGKH"
"281","DGKI"
"282","DHRS13"
"283","DIAPH2"
"284","DLG1"
"285","DLGAP4"
"286","DLK2"
"287","DNAH5"
"288","DNAJB9"
"289","DNAJC12"
"290","DNAJC2"
"291","DNMT3A"
"292","DNPEP"
"293","DPH6"
"294","DRAM1"
"295","DTD1"
"296","DUS3L"
"297","DUSP1"
"298","DUSP15"
"299","DUSP3"
"300","DUSP5"
"301","DUSP8"
"302","DYSF"
"303","E2F5"
"304","EBI3"
"305","EEF1A1P9"
"306","EEF1E1"
"307","EFEMP1"
"308","EFEMP2"
"309","EHD2"
"310","EIF4H"
"311","EML2"
"312","EML3"
"313","ENG"
"314","ENO1"
"315","ENO3"
"316","ENPEP"
"317","EPSTI1"
"318","ERO1A"
"319","ETS2"
"320","ETV4"
"321","EVL"
"322","EXOC3L2"
"323","EXOC3L4"
"324","FABP3"
"325","FABP4"
"326","FAHD2P1"
"327","FAM110B"
"328","FAM132A"
"329","FAM162A"
"330","FAM177A1"
"331","FAM210A"
"332","FAM216A"
"333","FAM219A"
"334","FAM221A"
"335","FAM222B"
"336","FAM26F"
"337","FAM65A"
"338","FAM65B"
"339","FAM65C"
"340","FAM90A28P"
"341","FARP1"
"342","FBLIM1"
"343","FBXO32"
"344","FBXO6"
"345","FCGR2A"
"346","FDX1"
"347","FERMT2"
"348","FGA"
"349","FGF11"
"350","FGF18"
"351","FGF7"
"352","FGFBP3"
"353","FGL1"
"354","FHL1"
"355","FHL2"
"356","FHL3"
"357","FILIP1L"
"358","FKBP11"
"359","FKBP1A"
"360","FLT3LG"
"361","FMNL2"
"362","FMO1"
"363","FN3K"
"364","FNDC4"
"365","FOXP4"
"366","FRMD6"
"367","FRMPD2"
"368","FRZB"
"369","FSD1"
"370","FST"
"371","FSTL1"
"372","FUNDC2"
"373","FUNDC2P1"
"374","FUOM"
"375","GAL"
"376","GAL3ST4"
"377","GBA3"
"378","GBE1"
"379","GBP1"
"380","GDF5"
"381","GDNF"
"382","GDPD3"
"383","GFPT1"
"384","GGT5"
"385","GHDC"
"386","GIPC3"
"387","GJA1"
"388","GK"
"389","GLIPR2"
"390","GLIS3"
"391","GLRX"
"392","GLTP"
"393","GMPPB"
"394","GNA15"
"395","GNAI3"
"396","GNAS"
"397","GNG8"
"398","GOLGA4"
"399","GOLPH3"
"400","GPBAR1"
"401","GPI"
"402","GPR183"
"403","GPSM1"
"404","GPT"
"405","GRAMD1A"
"406","GREB1"
"407","GRIN2D"
"408","GRINA"
"409","GSTM4"
"410","GTF2E2"
"411","GTPBP2"
"412","GUCA1A"
"413","GUCY1B3"
"414","GYG1"
"415","GYPC"
"416","GYS1"
"417","GZMM"
"418","HAND1"
"419","HAND2"
"420","HBBP1"
"421","HBD"
"422","HBG2"
"423","HCAR3"
"424","HDAC7"
"425","HDGF"
"426","HEBP2"
"427","HHIPL1"
"428","HIF3A"
"429","HILPDA"
"430","HIST1H1C"
"431","HIST1H4J"
"432","HIVEP1"
"433","HK1"
"434","HK2"
"435","HLA-DPB1"
"436","HLA-E"
"437","HLA-F"
"438","HLA-L"
"439","HMGA2"
"440","HMOX1"
"441","HNF4G"
"442","HNRNPA3"
"443","HNRNPDL"
"444","HNRNPH2"
"445","HNRNPK"
"446","HPGD"
"447","HRASLS2"
"448","HRC"
"449","HSBP1L1"
"450","HSD17B14"
"451","HSP90AB1"
"452","HSP90B1"
"453","HSPA4"
