well,plate,treatment,day,plate_pos,broth_pos,censor,dead,bd1,bd2,il6,il8,vegf,sterile_d9_0
B5,2,E. coli,1,0,0,0,0,5.06,1290.71,24.94,1633.13,223.34,0
C5,2,E. coli,1,0,0,0,0,6.17,497.03,3.19,117.34,170.68,0
D5,2,E. coli,1,0,0,0,0,24.18,196.66,90.08,851.49,1429.32,1
A6,2,E. coli,1,0,0,0,0,8.51,355.12,0.64,186.03,511.81,0
B6,2,E. coli,1,0,0,0,0,53.72,475.13,13.23,4252.34,217.49,0
C6,2,E. coli,1,0,0,0,0,13.24,438.67,88.85,1090.25,703.49,0
D6,2,E. coli,1,0,0,0,0,2.68,1091.02,201.15,2357.22,583.35,0
1,3,PBS,1,0,0,0,0,34.5,45.55,4.15,51.32,346.42,0
2,3,PBS,1,0,0,0,0,26.09,0,3.19,79.08,334.71,0
3,3,PBS,1,0,0,0,0,57.38,150.56,4.79,263.74,129.59,0
4,3,PBS,1,0,0,0,0,55.97,58.4,3.83,124.32,194.08,0
A1,1,E. coli,2,0,0,0,0,18.87,578.8,25.89,272.27,1622.2,0
B1,1,E. coli,2,0,0,0,0,48.03,0,15.22,704.1,543.39,0
C1,1,E. coli,2,0,0,0,0,29.61,211.95,1.48,238.08,384.1,0
D1,1,E. coli,2,0,0,0,0,67.27,336.9,5.43,220.19,851.2,0
A2,1,E. coli,2,0,0,0,0,19.72,0,2.04,57.45,615.84,0
B2,1,E. coli,2,0,0,0,0,7.04,0,17.56,633.67,158.06,0
C2,1,E. coli,2,0,0,0,0,22.19,159.36,4.02,175.97,520.85,0
D2,1,E. coli,2,0,0,0,0,28.69,596.84,22.01,398.81,678.23,1
A3,1,E. coli,2,0,0,0,0,13.45,300.91,41.6,2215.38,1095.44,0
B3,1,E. coli,2,0,0,0,0,28.17,770.44,10.86,527.53,1442.69,0
C3,1,E. coli,2,0,0,0,0,79.72,118.16,1.76,212.1,293.23,0
D3,1,E. coli,2,0,0,0,0,1568.13,200.75,2.32,645.5,188.83,0
A4,1,E. coli,2,0,0,0,0,78.43,2106.46,132.82,3175.19,1713.3,1
B4,1,E. coli,2,0,0,0,0,5.67,52.16,7.42,379.24,416.6,0
C4,1,E. coli,2,0,0,0,0,63.11,227.6,1.48,461.73,335.85,0
D4,1,E. coli,2,0,0,0,0,2250,862.83,2.32,949.1,422.03,0
A5,1,E. coli,2,0,0,0,0,415.38,1857.31,79.55,8631.7,1557.42,0
B5,1,E. coli,2,0,0,0,0,131.08,154.72,22.29,1676.45,341.13,0
C5,1,E. coli,2,0,0,0,0,50.63,0,2.89,435.84,335.77,0
D5,1,E. coli,2,0,0,0,0,413.8,1356.25,3.17,1701.68,245.9,0
A6,1,E. coli,2,0,0,0,0,22.04,218.74,42.23,676.31,649.73,0
B6,1,E. coli,2,0,0,0,0,37.03,728.53,57.41,3136.96,443.9,0
C6,1,E. coli,2,0,0,0,0,17.75,13.12,5.15,132.53,384.11,0
D6,1,E. coli,2,0,0,0,0,62.09,415.25,19.33,725.34,454.9,1
A1,2,E. coli,2,0,0,0,0,560,923.3,30.13,3090.97,543.06,1
B1,2,E. coli,2,0,0,0,0,13.19,194.02,42.86,1368.06,449.31,1
C1,2,E. coli,2,0,0,0,0,8.1,1386.38,136.12,1100.49,240.66,1
D1,2,E. coli,2,0,0,0,0,83.73,902.77,57.41,1346.21,1461.95,1
A2,2,E. coli,2,0,0,0,0,57.75,1305.66,143.56,1104.71,2041.54,0
B2,2,E. coli,2,0,0,0,0,38.45,0,20.8,286.2,822.02,0
C2,2,E. coli,2,1,0,0,0,20.59,330.59,7.42,711.12,839.62,1
D2,2,E. coli,2,0,0,0,0,5,1220.76,60.08,1647.6,787.84,0
