 ,Label,Area,Mean,Min,Max,Median
250,160929_17_R3D_xx_523_xx_t010.tif,416213,61.315276073,50,78,62
251,160929_06_R3D_xx_523_xx_t111.tif,119406,57.944441653,50,76,58
252,160929_13_R3D_xx_523_xx_t053.tif,375188,62.840298730,50,83,63
253,160929_05_R3D_xx_523_xx_t073.tif,310340,59.967567829,50,81,59
254,160929_04_R3D_xx_523_xx_t011.tif,288974,58.433357326,50,74,59
255,160929_14_R3D_xx_523_xx_t081.tif,420001,62.969435787,50,79,64
256,160929_17_R3D_xx_523_xx_t133.tif,247886,53.164386048,50,64,53
257,160929_14_R3D_xx_523_xx_t024.tif,346964,60.449254101,50,75,61
258,160929_20_R3D_xx_523_xx_t057.tif,406726,66.833398898,50,82,69
259,160929_24_R3D_xx_523_xx_t069.tif,678107,67.072411876,50,81,68
260,160929_14_R3D_xx_523_xx_t121.tif,397828,59.845088832,50,76,60
261,160929_01_R3D_xx_523_xx_t074.tif,0,NaN,255,24,255
262,160929_09_R3D_xx_523_xx_t092.tif,0,NaN,255,34,255
263,160929_30_R3D_xx_523_xx_t088.tif,358369,63.760941934,50,82,65
264,160929_27_R3D_xx_523_xx_t072.tif,556710,61.898025902,50,81,62
265,160929_23_R3D_xx_523_xx_t021.tif,587846,64.101089401,50,78,66
266,160929_03_R3D_xx_523_xx_t129.tif,34355,55.425440256,50,70,55
267,160929_28_R3D_xx_523_xx_t035.tif,324153,61.630103686,50,84,62
268,160929_23_R3D_xx_523_xx_t001.tif,580758,66.462166686,50,81,69
269,160929_06_R3D_xx_523_xx_t093.tif,140270,59.453047694,50,81,59
270,160929_17_R3D_xx_523_xx_t118.tif,312338,54.354894377,50,66,54
271,160929_31_R3D_xx_523_xx_t019.tif,8514,51.699201315,50,59,51
272,160929_02_R3D_xx_523_xx_t111.tif,0,NaN,255,22,255
273,160929_08_R3D_xx_523_xx_t030.tif,0,NaN,255,39,255
274,160929_04_R3D_xx_523_xx_t102.tif,272821,62.433775259,50,82,63
275,160929_11_R3D_xx_523_xx_t097.tif,146994,58.530450222,50,71,59
276,160929_24_R3D_xx_523_xx_t115.tif,622801,61.625912611,50,74,63
277,160929_21_R3D_xx_523_xx_t054.tif,551879,69.859237260,50,84,71
